from_postcode,BR68ND,CR77YE,E111NR,E11FR,E138SL,E96SR,EN53DJ,HA13UJ,KT27QB,N181QX,NW12BU,NW32QG,RM70AG,SE136LH,SE17EH,SE59RS,SM51AA,SW109NH,SW170QT,TW76AF,UB83NN,W68RF
Brent 003A,45.6834,30.0384,30.3513,24.0933,30.8728,25.032,18.8783,1.8774,20.5471,21.903,17.3138,14.4977,43.5974,30.8728,20.4428,23.6761,28.5782,16.0622,24.4062,14.4977,15.4364,15.0192
Brent 003B,43.3888,34.5233,28.3696,23.7804,40.7813,27.9524,15.0192,4.7978,25.032,20.0256,17.0009,12.516,41.72,30.5599,20.1299,24.3019,33.0631,20.5471,28.8911,19.0869,19.9213,19.5041
Brent 003E,43.806,34.9405,28.6825,24.0933,41.1985,28.2653,15.4364,4.0677,25.4492,20.3385,17.3138,12.9332,42.0329,30.8728,20.4428,24.6148,33.376,20.9643,29.204,19.3998,19.2955,19.817
Brent 003F,44.6404,35.7749,29.5169,24.9277,41.9286,29.0997,12.7246,5.1107,26.2836,21.1729,18.1482,13.7676,42.8673,31.7072,21.2772,25.4492,34.2104,21.6944,30.0384,20.2342,20.3385,20.6514
Brent 003G,44.2232,35.3577,29.204,24.5105,41.6157,28.7868,15.8536,3.7548,25.8664,20.7557,17.8353,13.3504,42.4501,31.29,20.9643,25.1363,33.8975,21.3815,29.7255,19.817,18.9826,20.3385
Brent 004A,48.8124,33.1674,31.1857,27.2223,43.7017,30.7685,16.0622,1.8774,23.6761,22.8417,20.4428,15.4364,44.5361,34.0018,23.5718,26.8051,31.6029,19.1912,27.5352,17.6267,17.0009,18.0439
Brent 004B,49.4382,33.7932,30.3513,25.6578,42.763,29.9341,16.2708,3.129,24.3019,21.903,18.9826,14.4977,43.5974,32.4373,22.0073,26.2836,32.2287,19.817,28.0567,18.2525,18.3568,18.6697
Brent 004C,47.978,32.333,28.8911,24.1976,41.3028,28.4739,16.8966,3.3376,22.8417,20.4428,17.5224,13.0375,42.1372,30.9771,20.5471,24.8234,30.7685,18.3568,26.7008,16.7923,19.9213,17.2095
Brent 004D,48.8124,33.0631,29.6212,25.032,42.0329,29.204,16.2708,2.5032,23.5718,21.2772,18.2525,13.7676,42.9716,31.8115,21.3815,25.5535,31.6029,19.0869,27.4309,17.6267,17.6267,18.0439
Brent 004E,49.3339,33.6889,30.6642,27.7438,43.0759,30.247,15.5407,2.3989,24.1976,22.2159,21.0686,14.8106,43.9103,34.5233,24.0933,27.3266,32.2287,19.7127,28.0567,18.1482,17.6267,18.6697
Brent 005A,40.8856,33.8975,26.075,21.1729,38.4867,25.6578,13.9762,5.7365,24.4062,17.6267,14.4977,10.0128,39.3211,27.9524,17.6267,21.7987,32.333,19.9213,28.161,18.3568,23.7804,18.774
Brent 005B,42.6587,33.7932,27.6395,23.0503,40.0512,27.2223,14.602,6.258,24.3019,19.2955,16.2708,11.7859,40.9899,29.8298,19.3998,23.5718,32.333,19.817,28.161,18.3568,23.6761,18.774
Brent 005C,41.8243,32.9588,26.8051,22.1116,39.2168,26.3879,15.1235,6.8838,23.4675,18.4611,15.4364,10.9515,40.1555,28.9954,18.5654,22.7374,31.4986,18.9826,27.3266,17.4181,22.8417,17.9396
Brent 005D,40.1555,30.0384,25.032,20.4428,37.548,24.7191,14.602,7.0924,23.989,16.688,13.6633,9.2827,38.3824,27.2223,16.7923,21.0686,31.9158,19.5041,27.7438,17.9396,23.3632,18.3568
Brent 005E,42.3458,33.4803,27.2223,22.6331,39.7383,26.9094,14.8106,6.5709,23.989,18.8783,15.8536,11.473,40.5727,29.4126,18.9826,23.2589,31.9158,19.5041,27.7438,17.9396,23.3632,18.3568
Brent 006A,42.3458,31.29,27.2223,22.6331,39.7383,26.8051,18.4611,5.215,21.7987,18.8783,15.8536,11.473,40.5727,29.4126,18.9826,23.1546,29.8298,17.3138,25.6578,15.7493,19.5041,16.2708
Brent 006B,48.6038,32.9588,29.5169,24.8234,41.9286,29.0997,16.2708,3.9634,23.4675,21.0686,18.1482,13.6633,42.763,31.6029,21.2772,25.4492,31.3943,18.8783,27.2223,17.4181,20.5471,17.8353
Brent 006C,48.1866,32.5416,29.0997,24.4062,41.5114,28.6825,16.4794,3.6505,23.0503,20.6514,17.731,13.2461,42.3458,31.1857,20.7557,25.032,30.9771,18.5654,26.9094,17.0009,20.1299,17.5224
Brent 006D,43.2845,32.2287,28.2653,23.5718,40.677,27.8481,19.5041,4.172,22.7374,19.9213,16.8966,12.4117,41.6157,30.4556,20.0256,24.1976,30.7685,18.2525,26.5965,16.688,20.1299,17.2095
Brent 006E,47.5608,31.9158,28.2653,23.5718,40.677,27.8481,19.3998,3.9634,22.4245,19.817,16.7923,12.4117,41.5114,30.3513,19.9213,24.1976,30.4556,17.9396,26.2836,16.3751,19.6084,16.8966
Brent 007A,49.2296,33.5846,30.1427,25.4492,42.5544,29.7255,17.0009,2.6075,24.0933,21.6944,18.774,14.2891,43.3888,32.2287,21.7987,26.075,32.0201,19.6084,27.8481,18.0439,17.8353,18.4611
Brent 007B,47.5608,31.9158,28.7868,25.9707,41.1985,28.3696,17.6267,4.0677,22.4245,20.4428,19.1912,12.9332,42.1372,32.7502,22.3202,25.5535,30.3513,17.9396,26.2836,16.3751,19.5041,16.7923
Brent 007C,47.978,32.333,29.204,26.3879,41.6157,28.7868,20.4428,3.5462,22.8417,20.7557,19.6084,13.3504,42.4501,33.1674,22.7374,25.8664,30.7685,18.3568,26.5965,16.7923,19.9213,17.2095
Brent 007D,46.935,31.29,28.4739,25.3449,40.8856,28.0567,19.7127,4.3806,21.7987,20.1299,18.6697,12.7246,41.8243,32.1244,21.6944,24.9277,29.8298,17.3138,25.6578,15.7493,18.9826,16.2708
Brent 007E,46.935,31.29,28.9954,25.3449,41.4071,28.5782,20.1299,3.4419,21.7987,20.5471,18.5654,13.1418,42.2415,32.1244,21.6944,24.8234,29.7255,17.3138,25.5535,15.7493,17.1052,16.1665
Brent 008A,46.7264,30.9771,31.29,25.032,31.8115,26.075,18.8783,1.8774,21.4858,22.946,18.3568,15.4364,44.6404,31.8115,21.4858,24.6148,29.5169,17.0009,25.3449,13.9762,15.5407,15.9579
Brent 008B,46.1006,30.4556,30.6642,24.5105,31.29,25.4492,18.6697,1.6688,20.9643,22.3202,17.731,14.9149,44.0146,31.29,20.86,23.989,28.8911,16.4794,24.7191,14.9149,15.8536,15.3321
Brent 008C,46.5178,30.8728,30.1427,24.8234,31.7072,25.8664,21.3815,3.0247,21.3815,21.7987,18.1482,14.3934,43.4931,31.6029,21.2772,24.4062,29.3083,16.7923,25.1363,15.3321,16.688,15.7493
Brent 008D,47.978,32.333,32.1244,26.3879,33.1674,31.7072,17.0009,1.043,22.8417,23.6761,19.6084,16.2708,45.3705,33.1674,22.7374,25.8664,30.7685,18.3568,26.5965,16.7923,16.1665,17.2095
Brent 008E,46.6221,30.9771,30.5599,24.9277,31.8115,25.9707,18.9826,1.9817,21.4858,22.2159,18.2525,14.7063,43.9103,31.7072,21.3815,24.5105,29.4126,16.8966,25.2406,15.4364,16.3751,15.8536
Brent 009A,41.5114,32.6459,26.4922,21.7987,38.9039,26.075,17.731,6.0494,23.1546,18.0439,15.1235,10.6386,39.7383,28.5782,18.2525,22.4245,31.1857,18.6697,27.0137,17.1052,22.5288,17.6267
Brent 009B,41.8243,31.1857,26.8051,22.1116,39.2168,26.3879,18.0439,5.4236,21.6944,18.3568,15.4364,10.9515,40.0512,28.8911,18.4611,22.7374,29.6212,17.2095,25.4492,15.645,19.3998,16.0622
Brent 009C,46.7264,31.0814,27.4309,22.7374,39.8426,27.0137,18.6697,5.7365,21.5901,18.9826,16.0622,11.5773,40.677,29.5169,19.0869,23.3632,29.5169,17.1052,25.4492,15.5407,19.2955,15.9579
Brent 009D,41.1985,32.333,26.1793,21.5901,38.591,25.7621,17.4181,7.1967,22.8417,17.8353,14.8106,10.3257,39.5297,28.3696,17.9396,22.1116,30.8728,18.3568,26.7008,16.8966,22.2159,17.3138
Brent 009E,41.1985,32.333,26.1793,21.4858,38.591,25.7621,17.4181,6.8838,22.8417,17.731,14.8106,10.3257,39.4254,28.2653,17.9396,22.1116,30.8728,18.3568,26.7008,16.7923,22.2159,17.3138
Brent 010B,39.634,31.9158,24.6148,19.9213,37.0265,24.1976,15.8536,9.5956,22.4245,16.1665,13.2461,8.7612,37.8609,26.7008,16.2708,18.8783,30.4556,17.9396,26.2836,16.3751,21.7987,16.8966
Brent 010D,40.7813,31.9158,25.7621,21.0686,38.1738,25.3449,17.0009,7.6139,22.4245,17.3138,14.3934,9.9085,39.0082,27.8481,17.5224,21.6944,30.4556,17.9396,26.2836,16.3751,21.7987,16.8966
Brent 010E,40.4684,31.6029,25.4492,20.7557,37.8609,25.032,16.688,7.301,22.1116,17.0009,14.0805,9.5956,38.6953,27.5352,17.2095,21.3815,30.1427,17.6267,25.9707,16.0622,21.4858,16.5837
Brent 010F,47.1436,31.4986,27.0137,25.5535,39.4254,26.5965,18.2525,9.1784,22.0073,18.6697,18.8783,11.1601,40.3641,25.7621,15.2278,18.5654,30.0384,17.5224,25.8664,15.9579,21.3815,16.4794
Brent 011A,36.0878,24.9277,24.0933,16.3751,36.505,23.6761,15.2278,11.1601,23.989,15.645,9.6999,6.4666,37.3394,23.1546,12.516,15.8536,27.4309,13.0375,21.7987,17.9396,23.3632,18.3568
Brent 011B,38.9039,28.7868,23.8847,19.1912,36.2964,23.4675,15.1235,9.9085,22.8417,15.4364,12.516,8.0311,37.1308,25.9707,15.5407,19.817,30.7685,18.3568,26.5965,16.7923,22.2159,17.2095
Brent 011C,36.6093,25.4492,24.8234,17.0009,37.2351,24.4062,16.0622,9.6999,22.6331,16.3751,10.2214,6.9881,38.0695,23.6761,13.1418,16.3751,30.6642,13.6633,22.4245,16.5837,22.0073,17.1052
Brent 011D,37.7566,31.29,26.7008,18.1482,39.2168,26.3879,17.9396,8.8655,21.7987,18.3568,11.3687,10.9515,40.0512,24.8234,14.2891,17.5224,29.8298,17.3138,25.6578,15.7493,21.1729,16.2708
Brent 011E,36.4007,25.2406,24.6148,16.7923,37.0265,24.1976,15.8536,9.5956,22.5288,16.1665,10.0128,6.7795,37.8609,23.4675,12.9332,16.1665,27.8481,13.3504,22.1116,16.4794,21.903,17.0009
Brent 012A,45.6834,30.0384,29.0997,24.0933,41.5114,28.6825,20.3385,3.6505,20.5471,20.6514,17.3138,13.2461,42.3458,30.8728,20.4428,23.5718,28.4739,16.0622,24.3019,14.4977,17.3138,14.9149
Brent 012B,46.3092,30.6642,28.5782,24.7191,40.9899,28.161,19.817,4.9021,21.1729,20.2342,17.9396,12.7246,41.9286,31.4986,21.0686,24.3019,29.0997,16.688,25.032,15.1235,18.2525,15.5407
Brent 012C,46.5178,30.7685,27.8481,24.8234,40.2598,27.4309,19.0869,4.6935,21.2772,19.5041,18.1482,11.9945,41.1985,31.6029,21.2772,24.4062,29.3083,16.7923,25.1363,15.3321,18.4611,15.7493
Brent 012D,46.5178,30.7685,27.8481,24.8234,40.2598,27.4309,19.0869,4.3806,21.2772,19.3998,18.1482,11.9945,41.1985,31.6029,21.2772,24.4062,29.3083,16.7923,25.1363,15.3321,18.4611,15.7493
Brent 013A,46.6221,30.9771,29.4126,25.032,31.8115,28.9954,20.6514,3.2333,21.4858,20.9643,18.3568,13.559,42.6587,31.8115,21.3815,24.6148,29.5169,17.0009,25.3449,15.4364,16.7923,15.9579
Brent 013B,45.5791,29.8298,30.0384,23.8847,30.6642,24.9277,21.2772,2.086,20.3385,21.6944,17.2095,14.1848,43.3888,30.6642,20.3385,23.4675,28.3696,15.8536,24.1976,14.3934,15.7493,14.8106
Brent 013C,45.4748,29.7255,30.9771,23.7804,30.5599,24.8234,22.2159,3.4419,20.2342,22.5288,17.1052,15.1235,44.2232,30.5599,20.2342,23.3632,28.2653,15.7493,24.0933,14.1848,16.5837,14.7063
Brent 013D,45.1619,29.5169,33.4803,23.4675,30.3513,24.5105,24.7191,2.5032,20.0256,25.032,16.7923,17.6267,46.7264,30.247,19.9213,23.0503,27.9524,15.4364,23.7804,13.9762,16.3751,14.3934
Brent 013E,46.7264,31.0814,29.5169,25.1363,31.9158,29.0997,20.7557,3.3376,21.5901,21.0686,18.4611,13.6633,42.763,31.9158,21.4858,24.7191,29.6212,17.1052,25.4492,15.5407,16.8966,16.0622
Brent 014A,36.505,25.3449,26.8051,16.8966,23.6761,26.3879,18.0439,8.9698,21.903,18.4611,10.1171,11.0558,40.1555,23.5718,13.0375,16.2708,29.9341,17.4181,20.3385,15.8536,21.2772,16.3751
Brent 014B,46.4135,30.7685,26.2836,24.8234,38.6953,25.8664,17.5224,8.4483,21.2772,17.8353,18.0439,10.43,39.5297,25.032,14.4977,17.731,29.204,16.7923,25.1363,15.2278,20.6514,15.645
Brent 014C,37.2351,30.7685,26.1793,17.6267,38.591,25.7621,17.4181,8.344,21.2772,17.8353,10.8472,10.3257,39.5297,24.3019,13.7676,17.1052,29.3083,16.7923,25.1363,15.2278,20.6514,15.7493
Brent 014D,36.8179,25.6578,26.1793,17.2095,38.591,25.7621,17.4181,8.344,21.2772,17.8353,10.5343,10.3257,39.5297,23.8847,13.3504,16.688,29.204,16.7923,25.1363,15.2278,20.6514,15.645
Brent 014E,40.0512,31.29,25.032,20.3385,37.4437,24.6148,16.2708,7.6139,21.7987,16.5837,13.6633,9.1784,38.2781,27.118,16.7923,20.9643,29.8298,17.3138,25.6578,15.8536,21.1729,16.2708
Brent 014F,37.3394,30.8728,26.2836,17.6267,38.6953,25.8664,17.5224,8.4483,21.3815,17.8353,10.9515,10.43,39.5297,24.4062,13.7676,17.1052,29.3083,16.7923,25.1363,15.3321,20.7557,15.7493
Brent 015A,35.1491,23.989,24.9277,15.5407,22.3202,24.5105,16.5837,11.9945,24.8234,16.4794,8.7612,5.5279,38.1738,22.2159,11.6816,14.9149,26.5965,12.2031,20.9643,18.774,24.1976,11.5773
Brent 015B,35.5663,24.4062,24.9277,15.9579,22.7374,24.5105,16.1665,11.9945,24.8234,16.5837,9.2827,5.9451,38.2781,22.6331,12.0988,15.4364,27.0137,12.6203,21.3815,18.8783,24.1976,11.9945
Brent 015C,35.2534,24.1976,25.8664,15.645,22.4245,16.688,17.1052,10.6386,23.5718,17.5224,8.9698,6.0494,39.2168,22.3202,11.7859,15.1235,26.7008,11.473,21.0686,17.5224,22.946,11.3687
Brent 015D,34.7319,23.6761,25.032,15.1235,21.903,24.6148,16.2708,12.2031,25.1363,16.5837,8.4483,5.215,38.2781,21.903,11.2644,14.602,26.1793,11.7859,20.5471,19.0869,24.4062,10.9515
Brent 015E,35.0448,23.8847,25.2406,15.4364,22.2159,24.8234,16.4794,12.516,25.3449,16.8966,8.6569,5.4236,38.591,22.1116,11.5773,14.8106,26.4922,12.0988,20.86,19.2955,24.7191,11.0558
Brent 015F,34.1061,22.946,25.7621,14.4977,21.2772,15.4364,17.0009,11.8902,25.8664,17.4181,7.7182,3.9634,39.1125,21.1729,10.6386,13.8719,25.5535,11.0558,19.9213,19.817,25.2406,10.9515
Brent 016A,45.6834,30.0384,34.0018,24.0933,30.8728,25.032,25.2406,3.0247,20.5471,25.6578,17.3138,18.1482,47.3522,30.8728,20.4428,23.6761,28.4739,16.0622,24.3019,14.4977,15.2278,14.9149
Brent 016B,45.892,30.247,34.2104,24.3019,31.0814,25.2406,25.4492,3.0247,20.7557,25.8664,17.5224,18.3568,47.5608,31.0814,20.6514,23.8847,28.6825,16.2708,24.6148,14.7063,15.2278,15.1235
Brent 016C,45.4748,29.8298,33.7932,23.8847,30.6642,24.8234,25.032,3.3376,20.3385,25.3449,17.1052,17.9396,47.0393,30.6642,20.2342,23.3632,28.2653,15.8536,24.0933,14.2891,14.8106,14.7063
Brent 016D,44.6404,28.9954,32.9588,22.946,29.8298,23.989,24.1976,3.3376,19.5041,24.5105,16.2708,17.1052,46.2049,29.8298,19.3998,22.5288,27.4309,14.9149,23.2589,13.4547,15.5407,13.8719
Brent 017B,47.4565,31.8115,28.6825,25.8664,41.0942,28.2653,19.9213,7.301,22.3202,20.2342,19.0869,12.8289,41.9286,32.6459,22.2159,25.4492,30.247,17.8353,26.1793,16.2708,21.6944,16.7923
Brent 017C,44.7447,29.0997,28.7868,23.1546,29.9341,28.3696,20.0256,5.6322,19.6084,20.3385,16.4794,12.9332,42.0329,29.9341,19.5041,22.7374,27.6395,15.1235,23.4675,13.559,18.9826,14.0805
Brent 017D,44.3275,28.6825,28.2653,22.7374,29.5169,27.9524,19.5041,6.258,19.1912,19.9213,15.9579,12.516,41.6157,29.5169,19.0869,22.3202,27.2223,14.7063,23.0503,13.1418,18.5654,13.6633
Brent 017E,44.6404,28.9954,28.6825,23.0503,29.8298,28.2653,19.9213,6.8838,19.5041,20.2342,16.3751,12.8289,41.9286,29.8298,19.3998,22.6331,27.5352,15.0192,23.3632,13.4547,18.8783,13.9762
Brent 017F,45.2662,29.6212,28.161,23.6761,30.4556,27.7438,19.3998,4.7978,20.1299,19.7127,16.8966,12.3074,41.4071,30.4556,20.0256,23.1546,28.0567,15.645,23.8847,14.0805,19.5041,14.4977
Brent 017G,46.3092,30.6642,27.9524,24.6148,40.3641,27.5352,19.1912,4.3806,21.1729,19.5041,17.9396,12.0988,41.1985,31.4986,21.0686,24.1976,29.0997,16.5837,24.9277,15.1235,18.2525,15.5407
Brent 018A,35.462,24.3019,26.2836,15.8536,22.6331,16.7923,17.5224,11.3687,24.3019,17.9396,9.1784,6.4666,39.634,22.5288,11.9945,15.3321,25.032,10.8472,19.3998,18.2525,23.6761,10.6386
Brent 018B,35.3577,24.1976,26.5965,15.7493,22.5288,16.7923,17.8353,10.1171,22.946,18.2525,9.0741,6.7795,39.9469,22.4245,11.8902,15.2278,24.8234,10.6386,19.1912,17.0009,22.3202,10.5343
Brent 018C,37.0265,25.8664,27.4309,17.4181,24.1976,27.0137,18.6697,9.5956,22.5288,18.9826,10.6386,6.8838,40.677,24.0933,13.559,16.7923,30.4556,11.7859,20.3385,16.4794,21.7987,16.8966
Brent 018D,37.1308,25.9707,27.5352,17.5224,24.3019,27.118,18.774,9.6999,22.6331,19.0869,10.7429,7.1967,40.7813,24.1976,13.6633,16.8966,30.5599,11.8902,20.4428,16.5837,22.0073,17.0009
Brent 018E,35.1491,23.989,25.7621,15.5407,22.3202,16.5837,17.0009,11.0558,23.989,17.4181,8.8655,5.9451,39.1125,22.2159,11.6816,15.0192,24.7191,10.5343,19.0869,17.9396,23.3632,10.3257
Brent 019A,45.4748,29.7255,30.5599,23.7804,30.5599,24.8234,21.7987,4.3806,20.2342,22.2159,17.1052,14.7063,43.9103,30.5599,20.2342,23.3632,28.2653,15.7493,24.0933,14.2891,16.5837,14.7063
Brent 019B,44.849,29.204,30.3513,23.1546,30.0384,24.1976,21.5901,3.7548,19.7127,22.0073,16.4794,14.602,43.7017,30.0384,19.6084,22.7374,27.6395,15.2278,23.4675,13.6633,16.0622,14.0805
Brent 019C,45.2662,29.6212,30.3513,23.6761,30.4556,24.7191,21.5901,4.2763,20.1299,21.903,17.0009,14.4977,43.5974,30.4556,20.0256,23.2589,28.161,15.645,23.989,14.0805,16.4794,14.602
Brent 019D,44.0146,28.3696,30.247,22.4245,29.204,23.3632,21.4858,4.6935,18.8783,21.7987,15.645,14.3934,43.4931,29.204,18.774,22.0073,26.8051,14.3934,22.6331,12.8289,17.0009,13.2461
Brent 019E,44.2232,28.5782,30.1427,22.6331,29.4126,23.5718,21.3815,4.5892,19.0869,21.6944,15.8536,14.2891,43.3888,29.4126,18.9826,22.2159,27.0137,14.602,22.8417,13.0375,16.7923,13.4547
Brent 020A,45.2662,29.6212,29.204,23.6761,30.4556,28.8911,20.4428,5.5279,20.1299,20.86,16.8966,13.4547,42.5544,30.4556,20.0256,23.2589,28.161,15.645,23.989,14.0805,19.5041,14.602
Brent 020B,44.4318,28.6825,28.3696,22.7374,29.5169,27.9524,19.6084,6.0494,19.1912,19.9213,16.0622,12.516,41.6157,29.5169,19.1912,22.3202,27.2223,14.7063,23.0503,13.2461,18.5654,13.6633
Brent 020C,43.7017,28.0567,27.7438,22.1116,28.8911,27.3266,18.8783,6.3623,18.5654,19.2955,15.4364,11.8902,40.9899,28.8911,18.4611,21.6944,26.5965,14.0805,22.4245,12.516,17.9396,13.0375
Brent 020D,44.3275,28.6825,29.4126,22.7374,29.5169,28.9954,20.6514,4.6935,19.1912,21.0686,15.9579,13.559,42.763,29.5169,19.0869,22.2159,27.118,14.7063,22.946,13.1418,16.8966,13.559
Brent 020E,45.0576,29.4126,28.9954,23.4675,30.247,28.5782,20.2342,5.1107,19.9213,20.6514,16.688,13.2461,42.3458,30.247,19.817,23.0503,27.8481,15.4364,23.7804,13.8719,17.4181,14.2891
Brent 021A,45.0576,29.4126,26.8051,23.4675,39.2168,26.3879,18.0439,10.3257,19.9213,18.3568,16.688,10.9515,40.0512,30.247,13.9762,17.3138,27.8481,15.4364,23.7804,13.8719,19.2955,14.2891
Brent 021B,41.8243,31.29,26.7008,22.1116,39.1125,26.2836,17.9396,9.387,21.7987,18.3568,15.3321,10.8472,40.0512,28.8911,18.4611,22.6331,29.7255,17.3138,25.6578,15.7493,21.1729,16.2708
Brent 021C,41.9286,31.29,26.8051,22.2159,39.2168,26.3879,18.0439,9.4913,21.7987,18.4611,15.4364,10.9515,40.1555,28.9954,18.5654,22.7374,29.8298,17.3138,25.6578,15.7493,21.1729,16.2708
Brent 021D,44.849,29.0997,26.4922,23.1546,38.9039,26.075,17.731,10.0128,19.6084,18.1482,16.4794,10.6386,39.8426,29.9341,19.6084,22.7374,27.6395,15.1235,23.4675,13.6633,18.9826,14.0805
Brent 021E,42.1372,31.6029,27.118,22.4245,39.5297,26.7008,18.3568,9.8042,22.1116,18.6697,15.7493,11.2644,40.3641,29.204,18.8783,23.0503,30.1427,17.6267,25.9707,16.0622,21.4858,16.5837
Brent 021F,43.9103,28.2653,28.0567,22.3202,29.0997,27.6395,19.2955,9.1784,18.774,19.6084,15.645,12.2031,41.3028,29.0997,18.6697,21.903,26.8051,14.2891,22.6331,12.7246,18.1482,13.2461
Brent 022A,35.462,24.3019,27.118,15.8536,22.6331,16.7923,18.3568,10.5343,23.4675,18.6697,9.0741,7.301,40.3641,22.5288,11.9945,15.2278,23.6761,9.4913,18.0439,17.4181,22.8417,9.387
Brent 022B,35.3577,24.1976,26.9094,15.7493,22.5288,16.7923,18.0439,10.3257,23.2589,18.4611,9.0741,7.0924,40.1555,22.4245,11.8902,15.2278,24.4062,10.2214,18.774,17.2095,22.6331,10.0128
Brent 022C,35.1491,23.989,26.5965,15.5407,22.3202,16.4794,17.8353,10.5343,23.4675,18.2525,8.7612,6.7795,39.9469,22.2159,11.6816,14.9149,24.3019,10.1171,18.6697,17.4181,22.8417,9.9085
Brent 022D,35.2534,24.0933,26.075,15.645,22.4245,16.5837,17.3138,11.1601,24.0933,17.731,8.8655,6.258,39.4254,22.3202,11.7859,15.0192,24.7191,10.5343,19.0869,18.0439,23.4675,10.43
Brent 022E,35.1491,23.989,26.5965,15.5407,22.3202,16.4794,17.8353,10.0128,22.946,18.2525,8.7612,6.7795,39.9469,22.2159,11.6816,14.9149,24.0933,9.9085,18.4611,16.8966,22.3202,9.8042
Brent 023A,33.376,22.3202,26.8051,13.7676,20.6514,14.8106,18.0439,11.8902,23.2589,18.3568,7.0924,3.6505,40.0512,20.5471,9.9085,13.2461,24.8234,10.43,19.1912,18.774,24.1976,10.3257
Brent 023B,34.0018,22.8417,26.8051,14.3934,21.1729,15.4364,17.9396,11.1601,24.0933,18.3568,7.7182,5.6322,40.0512,21.0686,10.5343,13.8719,25.4492,11.0558,19.817,18.0439,23.4675,9.9085
Brent 023C,33.6889,22.6331,26.4922,14.0805,20.86,15.1235,17.731,11.6816,24.6148,18.0439,7.4053,5.3193,39.7383,20.86,10.2214,13.559,25.1363,10.7429,19.5041,18.5654,23.989,10.1171
Brent 023D,34.8362,23.7804,25.9707,15.2278,22.0073,16.2708,17.2095,11.2644,24.1976,17.6267,8.5526,6.1537,39.3211,22.0073,11.3687,14.7063,24.4062,10.2214,18.774,18.1482,23.5718,10.0128
Brent 023E,33.5846,22.4245,26.1793,13.9762,20.7557,14.9149,17.3138,13.3504,23.3632,17.731,7.1967,3.8591,39.4254,20.6514,10.1171,13.3504,25.032,10.6386,19.3998,20.1299,25.5535,10.5343
Brent 024A,35.7749,24.6148,27.118,16.1665,22.946,17.2095,18.3568,9.2827,22.2159,18.774,9.4913,7.5096,40.4684,22.8417,12.3074,15.645,24.8234,10.6386,19.1912,16.1665,21.5901,10.43
Brent 024B,35.462,24.3019,27.5352,15.8536,22.6331,16.7923,18.1482,9.6999,22.6331,19.0869,9.1784,7.0924,40.7813,22.5288,11.9945,15.3321,24.5105,10.3257,18.774,16.5837,22.0073,10.1171
Brent 024C,35.7749,24.6148,27.4309,16.1665,22.946,17.2095,18.6697,9.5956,22.4245,18.9826,9.4913,7.5096,40.677,22.8417,12.3074,15.645,24.8234,10.6386,19.1912,16.4794,21.7987,10.43
Brent 024D,35.8792,23.4675,28.161,16.2708,23.0503,17.2095,19.3998,10.3257,21.6944,19.7127,9.4913,7.6139,41.4071,22.946,12.4117,15.645,24.3019,10.1171,18.6697,15.645,21.0686,8.8655
Brent 025A,36.7136,24.5105,27.118,17.0009,23.8847,26.7008,18.3568,9.2827,20.9643,18.774,10.3257,8.344,40.4684,23.7804,13.1418,16.4794,25.3449,11.1601,19.7127,14.9149,20.3385,9.8042
Brent 025B,36.1921,23.8847,27.9524,16.5837,23.3632,17.6267,19.1912,10.1171,19.817,19.6084,9.9085,12.2031,41.3028,23.2589,12.7246,16.0622,27.7438,9.6999,18.0439,13.7676,19.0869,8.6569
Brent 025C,36.505,24.0933,28.161,16.8966,23.6761,17.8353,19.3998,10.3257,20.5471,19.7127,10.1171,9.2827,41.4071,23.5718,13.0375,16.2708,24.9277,10.7429,19.2955,14.4977,19.9213,8.9698
Brent 025D,36.9222,24.5105,27.7438,17.3138,24.0933,18.2525,18.9826,10.8472,20.4428,19.2955,10.5343,8.8655,40.9899,23.989,13.4547,16.688,28.4739,10.43,18.774,14.3934,19.817,9.2827
Brent 025E,36.6093,24.1976,27.9524,16.8966,23.7804,17.9396,19.1912,10.7429,20.3385,19.5041,10.2214,9.0741,41.1985,23.6761,13.0375,16.3751,25.032,10.1171,19.3998,14.2891,19.7127,9.0741
Brent 025F,36.7136,24.3019,28.4739,17.1052,23.8847,18.0439,19.7127,10.6386,20.2342,20.0256,10.3257,9.387,41.72,23.7804,13.2461,16.4794,28.161,10.2214,18.4611,14.1848,19.6084,9.0741
Brent 026A,42.6587,27.0137,30.9771,21.0686,27.8481,22.1116,22.2159,5.9451,17.5224,22.6331,14.3934,15.2278,44.3275,27.8481,17.5224,20.6514,25.5535,13.0375,21.3815,11.473,16.8966,11.9945
Brent 026B,43.7017,28.0567,30.4556,22.0073,28.8911,23.0503,21.6944,5.3193,18.5654,22.0073,15.3321,14.602,43.7017,28.7868,18.4611,21.5901,26.4922,13.9762,22.3202,12.516,17.8353,12.9332
Brent 026C,44.0146,28.3696,28.9954,22.3202,29.204,23.3632,20.2342,6.1537,18.8783,20.5471,15.645,13.1418,42.2415,29.0997,18.774,21.903,26.8051,14.2891,22.6331,12.8289,18.1482,13.2461
Brent 026D,43.5974,27.8481,28.4739,21.903,28.6825,22.946,19.7127,6.258,18.3568,20.1299,15.2278,12.7246,41.8243,28.6825,18.3568,21.4858,26.3879,13.8719,22.2159,12.3074,17.731,12.8289
